"","ID","Symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"9136","10544148","Jhdm1d",2.19698145865439,7.00233190868696,6.70658157120102,2.11706250817908e-05,0.0121842828074896,3.09460257487398
"17430","10424349","Sqle",-0.881417289336168,9.03446322521006,-6.64564214032928,2.3124796121171e-05,0.012949260833366,3.01344012050389
"16856","10426544","Slc48a1",0.463878819734262,9.8667171713724,6.62655161054836,2.37757368657724e-05,0.0129634076874195,2.98789427913171
"8339","10404069","Hist1h1a",-1.07372808776039,9.96979096725546,-6.59893028414667,2.47522497322824e-05,0.0131497913385425,2.95083141193302
"4373","10585214","Cryab",0.797699996474478,8.85661726406225,6.55695433901259,2.63187049048765e-05,0.0133543000765944,2.89427672504
"19349","10386789","Ulk2",0.887516057062114,7.36853471531241,6.5541694702231,2.64262900304247e-05,0.0133543000765944,2.89051478875291
"4919","10359929","Ddr2",0.558909275074296,5.82277396601377,6.45311342719508,3.06642118300251e-05,0.0139595828064573,2.75317179898937
"11053","10445826","Mocs1",0.810034788754994,7.28476961385594,6.42863940247077,3.17954911379631e-05,0.0139595828064573,2.71966566064324
"10634","10436428","Mina",-0.680527921611832,9.04354083495846,-6.42528145295529,3.19541316235666e-05,0.0139595828064573,2.71506102218071
"1165","10439701","Abhd10",-0.466286140051976,7.86131945390094,-6.38904153187121,3.37206931132559e-05,0.0139595828064573,2.66525210766943
"2783","10384968","Bod1",-0.610468975850337,7.35818205351994,-6.38582052871285,3.38826452977373e-05,0.0139595828064573,2.66081495451959
"6350","10390574","Fbxl20",1.66009047511081,7.39153601143686,6.36657436205894,3.48677048407712e-05,0.0139595828064573,2.63426751446595
"5094","10376726","Dhrs7b",-0.695466567642002,9.83634546081346,-6.36356073132751,3.50246806214942e-05,0.0139595828064573,2.63010526729789
"14357","10454478","Polr2d",-0.889513452399742,8.71101080855175,-6.33096952802608,3.67710304095311e-05,0.0139595828064573,2.58499947722405
"15119","10486057","Rab5b",0.528947608921493,8.91012060290672,6.32582479065192,3.70550413377227e-05,0.0139595828064573,2.577863700253
"9543","10391025","Krt15",-1.73394789038668,7.18115508226458,-6.32283095116376,3.72213841101573e-05,0.0139595828064573,2.57370927946515
"8647","10462621","I830012O16Rik",3.23430892084475,4.63155605276935,6.31758539449361,3.75147489400658e-05,0.0139595828064573,2.56642678882791
"6887","10526181","Gatsl2",1.3508231679055,7.36669899773275,6.3123113053907,3.78121835783433e-05,0.0139595828064573,2.5591002438459
"6954","10557470","Gdpd3",1.53027409296204,8.07840970601455,6.30582579275394,3.81813703931697e-05,0.0139595828064573,2.55008473168336
"2462","10489891","B4galt5",0.518222660087535,8.98419076764214,6.29584091715861,3.87572517961487e-05,0.0139595828064573,2.53619157968175
"18076","10430871","Tdg",-0.911814154194833,9.79115206624776,-6.29020135670593,3.90865806334235e-05,0.0139595828064573,2.52833752326372
"16903","10507500","Slc6a9",0.983010124103465,9.60814528022762,6.27694232519212,3.98726058213615e-05,0.0139595828064573,2.50985195654854
"10260","10564909","Man2a2",0.658329917986012,7.83229517277611,6.26217420287893,4.07678686383055e-05,0.0139595828064573,2.48922923809388
"15651","10386230","Rnf187",-0.435856976351969,10.5835615898749,-6.25754212542331,4.10530437040514e-05,0.0139595828064573,2.48275363389689
"6502","10524052","Fgfrl1",0.614741316428149,7.00031502714569,6.22288125539835,4.32552608139409e-05,0.0139595828064573,2.43418868378168
"11615","10563891","Nck2",0.53125590920974,9.1369446716858,6.21468000777581,4.37944442610971e-05,0.0139595828064573,2.42266929466992
"9336","10520612","Khk",0.644688377093138,7.25799781519656,6.21099295938258,4.40391633480054e-05,0.0139595828064573,2.41748698049872
"7218","10516037","Gm12888",2.58114001120435,4.06505657600903,6.18078974415409,4.60992494322521e-05,0.0139595828064573,2.37495266858076
"8694","10397975","Ifi27l1",1.0470960369594,8.43301040767164,6.17577297081432,4.64512092740995e-05,0.0139595828064573,2.3678734763642
"13768","10569152","Pddc1",0.840833814607594,8.63022772194829,6.17454925374177,4.65374924693835e-05,0.0139595828064573,2.36614606885812
"15090","10419676","Rab2b",0.807733892303877,6.86679341168554,6.1631416503157,4.73500528139257e-05,0.0139595828064573,2.35003141701351
"6366","10524941","Fbxo21",0.4254603187185,9.23248593346013,6.1611935150758,4.7490314549836e-05,0.0139595828064573,2.34727733998776
"13732","10534862","Pcolce",0.55462606328482,11.8436188394977,6.15458104794954,4.79696915270128e-05,0.0139595828064573,2.33792474268728
"1176","10415021","Abhd4",0.856669365306736,9.01374640303417,6.1526210105165,4.81127695240842e-05,0.0139595828064573,2.33515113510004
"11565","10488387","Napb",0.459388792788852,5.83228377817788,6.15256549818358,4.8116828369728e-05,0.0139595828064573,2.33507257175786
"6646","10402063","Foxn3",0.971760078862459,7.60756221487649,6.14995707564375,4.83079557482748e-05,0.0139595828064573,2.33138046493965
"9098","10421557","Itm2b",1.2818659886123,8.94814566915436,6.14720415178222,4.85105440448345e-05,0.0139595828064573,2.32748263398702
"14815","10469828","Psd4",-0.543047496223132,7.705010251833,-6.11800290043136,5.071574588608e-05,0.0143942402604615,2.28606175478823
"17810","10461459","Syt7",0.640077156806865,7.27429870447217,6.09069262755328,5.28744103923301e-05,0.0148041203907931,2.24719873331246
"11326","10423155","Mtmr12",0.523223571259864,8.42205868928321,6.07634874518244,5.40469734838443e-05,0.0149306565814903,2.22673892754949
"15383","10364784","Reep6",0.860946476516183,11.1876238067626,6.0650242291832,5.49921607116376e-05,0.0149665209666083,2.21056242345084
"10058","10538087","Lrrc61",0.652563913696444,6.62214441913193,6.05759755651339,5.56215123523742e-05,0.0149665209666083,2.19994255275835
"4820","10405693","Dapk1",0.760010213830647,8.97826684322258,6.00110904991017,6.06654312828261e-05,0.015630337279158,2.11887448579248
"941","10541071","8430408G22Rik",1.78625330014286,6.89553010133762,5.99860977187327,6.08994917204816e-05,0.015630337279158,2.11527579949724
"16347","10583242","Sesn3",0.885762028498412,7.24891563755492,5.99614232864431,6.1131508725337e-05,0.015630337279158,2.11172196149646
"16051","10578916","Sc4mol",-0.930279513175687,9.31602470685211,-5.98485097146071,6.22052513892855e-05,0.015630337279158,2.09544655826726
"11710","10408850","Nedd9",1.11656380444127,6.73536921856322,5.97918242186729,6.27518072472863e-05,0.015630337279158,2.08726812019161
"637","10487748","4930402H24Rik",0.789294251802009,6.98100491898288,5.97717014689238,6.2947049242502e-05,0.015630337279158,2.08436361214965
"19978","10392449","Wipi1",0.800253284537163,8.55161260202549,5.96992266805282,6.36555842804309e-05,0.015630337279158,2.07389721127983
"13993","10380566","Phospho1",-0.743279620525286,6.37016364460216,-5.96518121082081,6.41236868926316e-05,0.015630337279158,2.0670452705312
"11594","10503431","Nbn",-0.604979110400082,7.95535458849301,-5.94388573377802,6.6271465976374e-05,0.015966029111215,2.03622607671522
"20528","10559764","Zfp787",0.472479207788377,6.99184813349977,5.9140646757174,6.94079175661158e-05,0.0163952188500831,1.99294525506778
"3971","10542156","Clec2d",0.798588921109523,3.9431377224079,5.90359734899829,7.05457439271326e-05,0.0163952188500831,1.97771938749515
"13900","10357535","Pfkfb2",-0.482293644097691,9.4087058744197,-5.8774487711589,7.34752450286845e-05,0.0163952188500831,1.93960599825293
"20611","10401365","Zfyve1",1.06117890161798,7.76756810457872,5.87019047154178,7.43110309238359e-05,0.0163952188500831,1.9290069062588
"5528","10507557","Ebna1bp2",-0.689545115100724,8.53379785309689,-5.85966270374106,7.55412056951876e-05,0.0163952188500831,1.91361835768286
"18065","10596900","Tcta",0.58177181977794,6.74383364595809,5.85195536792961,7.64554559394158e-05,0.0163952188500831,1.9023410978318
"9405","10540028","Klf15",1.14607922510389,8.17102110604661,5.84941149019688,7.67597749317795e-05,0.0163952188500831,1.89861682456526
"6426","10411464","Fcho2",0.390007619955004,8.95579332944069,5.84522921590533,7.72628790497573e-05,0.0163952188500831,1.89249164044131
"15719","10494023","Rorc",1.78988515689141,7.53767568242334,5.84423510445772,7.73829771833656e-05,0.0163952188500831,1.89103529021746
"19900","10598389","Wdr45",0.64749473404224,8.00665052740653,5.84005971115555,7.78895641696244e-05,0.0163952188500831,1.88491669030361
"10242","10578027","Mak16",-0.592306392616623,9.4810709068635,-5.83145335304338,7.89448405899699e-05,0.0163952188500831,1.87229608160355
"15109","10461408","Rab3il1",1.85167315614721,7.15725301412772,5.8248193351646,7.97685891153535e-05,0.0163952188500831,1.86255959307086
"10286","10391870","Map3k14",0.753874467080554,6.90259134932406,5.8245625679731,7.98006540845679e-05,0.0163952188500831,1.86218260283796
"6107","10423333","Fam134b",0.557258645816439,8.79924077001783,5.82357247067853,7.99244246109025e-05,0.0163952188500831,1.86072882426626
"10454","10372668","Mdm2",0.606462931781014,8.13244370411621,5.82068799121725,8.02861671183597e-05,0.0163952188500831,1.8564925848608
"5459","10551469","Dyrk1b",1.57762466773339,7.82696939358242,5.81729459688418,8.07139496456623e-05,0.0163952188500831,1.85150721415473
"13746","10460400","Pcx",1.02684252407083,6.69220509168678,5.79324710446107,8.38153504941809e-05,0.0168599053096013,1.81612473346174
"18038","10456522","Tcf4",0.562387771772684,9.90339740809286,5.78011754008447,8.55616011851157e-05,0.0169094269318221,1.79676697859428
"9579","10432907","Krt78",-0.689588499010846,6.4689075508739,-5.77913513578925,8.56937993069799e-05,0.0169094269318221,1.79531743664679
"17946","10472440","Tax1bp3",0.465264703652799,10.4806774776298,5.7702349608888,8.69013415419883e-05,0.0169859329755515,1.78217807987154
"15894","10587042","Rsl24d1",-0.521592769910546,9.48618884460229,-5.7614028345387,8.81174397460741e-05,0.0170626657392421,1.76912652675394
"10206","10424833","Maf1",0.522967540342942,8.0196930952569,5.75351149365094,8.92192152817754e-05,0.0171160455687324,1.75745454262288
"955","10468131","9130011E15Rik",0.408262146498751,7.6082642181242,5.73133241811148,9.23944714504246e-05,0.0175625784768931,1.72459586813457
"12129","10433494","Nubp1",-0.613495116167414,9.29173934021504,-5.71964573148365,9.41154135383556e-05,0.0175661898396137,1.70724987887244
"13660","10359870","Pbx1",0.520928060718655,8.66772832473597,5.71422726424705,9.49247768001921e-05,0.0175661898396137,1.69920002356671
"8937","10354521","Inpp1",0.474898650428324,5.56715620156116,5.70864439135151,9.5766391529285e-05,0.0175661898396137,1.69090096315441
"3064","10509568","Camk2n1",1.04665852890657,7.28777031624022,5.70212837990781,9.6758653681131e-05,0.0175661898396137,1.68120840832415
"9866","10467139","Lipa",0.747907249443573,8.25223147090022,5.69840972195227,9.73297945060178e-05,0.0175661898396137,1.67567383968
"7863","10374998","Gpr75",2.01859037978805,7.44790752654305,5.68914008342791,9.87690533748883e-05,0.0175661898396137,1.66186789615165
"15122","10588283","Rab6b",0.670961668802987,7.70997564962016,5.67995426661165,0.000100217485641756,0.0175661898396137,1.64817311575345
"8022","10439392","Gtf2e1",-0.421729544147711,7.61418039009758,-5.66916576247658,0.000101947322250748,0.0175661898396137,1.63207156766832
"14251","10587799","Plscr2",1.03434509454468,7.3548038648361,5.66555615732894,0.000102533104408796,0.0175661898396137,1.62668013904171
"14154","10430489","Pla2g6",0.894310533374153,7.40161948345123,5.65629341281734,0.000104052621451673,0.0175661898396137,1.61283537597043
