"","ID","Symbol","EG","RefSeq","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"15917","NjqJzlUhx2d0nujeCI","Pde1a","18573","NM_016744",-0.94302962952311,8.35005949199448,-8.43111231701252,6.76572569034009e-05,0.0679455356502067,2.13350820300555
"4203","Zq7uJs6HsKR_o0g7UQ","B3galt6","117592","NM_080445",-0.825177194146475,8.46684510762655,-8.26167010019132,7.7030557358522e-05,0.0705763469824118,2.02826786911365
"19153","lTu9cogBvRpV2zgIXQ","Slc15a2","57738","NM_021301",1.33229244937576,8.98512626147444,8.23980293674196,7.83439554176692e-05,0.0705763469824118,2.01447732467273
"3055","Z3ELkBrfFR4lN30aNk","Ahcy","269378","NM_016661",-0.916877227431426,9.0227513241938,-8.22181344845125,7.94434592407441e-05,0.0705763469824118,2.00309598494628
"17087","WukkRpUCPgigiQiUiU","Psmd1","70247","NM_027357",-0.639022926648874,9.65611106628937,-7.94212979231459,9.89934260851649e-05,0.0798430118490209,1.82185776260821
"19556","Hnooee8X.ktrfAijqU","Smarcd2","83796","NM_031878",-0.706205776409238,11.7411123978637,-7.90414458697373,0.000102046305025475,0.0798430118490209,1.79660815942783
"10470","HAn8HEsvjCjlBgJ4q4","Hnrnpa2b1","53379","NM_016806",0.619784241832956,8.43563723140364,7.89838725188901,0.000102518244329624,0.0798430118490209,1.79276762515274
"8722","xe4KCVoUSE6HgTeKrk","Fam169b","434197","NM_001013811",-1.89464366244623,8.61243528707787,-7.88408662453073,0.000103701201639563,0.0798430118490209,1.78321269597982
"17156","373urAq3qt0ClxX0FU","Ptges2","96979","NM_133783",-0.602445847212872,9.33938507727749,-7.77422316921646,0.000113321428644705,0.0820687630591266,1.70906779249587
"19495","rTpJEp64usi_x4Kd30","Slc9a8","77031","NM_178371",-0.682771569120817,9.82288968649197,-7.76823518517547,0.000113874051928615,0.0820687630591266,1.7049886856259
"6258","uhLeS4gdB8rvdqgHUI","Cops8","108679","NM_133805",-1.17968311775877,9.66662997000132,-7.61391326656223,0.000129222413057516,0.0826598558837625,1.59848778994633
"21764","frCg_6kEjwUezcQOdw","Ube2i","22196","NM_011665",-2.11140666535038,8.45434554888921,-7.552330407707,0.000135989026044808,0.0826598558837625,1.55523959317642
"7861","ceqBiLFLizv6X4P.3o","Sgip1","73094","AK088947",3.48172917365322,11.7918756567023,7.42915124877265,0.000150758697095513,0.0844637613774766,1.46742639742201
"15916","NroTT0kgQIiugIvp5U","Pde1a","18573","NM_001009979",-0.883325119650795,8.27382551574271,-7.40503576802478,0.000153857523161582,0.0844637613774766,1.45002812326185
"22397","6wVJpH3gvvgK7opQu4","Lins","72635","NM_152815",-0.593982676284126,9.19147827684242,-7.35145586704762,0.000161003104975248,0.0844637613774766,1.41112754272598
"21031","f7AO6OtODPeszs6cT8","Tmem70","70397","NM_026392",-0.602539035831284,8.04188056254686,-7.29275660134727,0.000169264457142952,0.0844637613774766,1.36811912932668
"1986","KUqSesW6AuXquv_QMA","Hjurp","381280","NM_198652",-1.2315265827836,11.2989646390629,-7.28005875420354,0.000171113816270245,0.0844637613774766,1.35876134870285
"16830","NeJOuoRLiFAw8cpeio","Prdx2","21672","NM_011563",-1.18023242833336,8.48928093702376,-7.27152609579001,0.000172369341230231,0.0844637613774766,1.35246225945963
"9707","6VKUuLqaULM8oFs01I","Gnpda1","26384","NM_011937",0.539400602220745,8.82482703026256,7.26895953263472,0.000172749024016089,0.0844637613774766,1.35056582508739
"18036","KSu4OqQ7iZgkQe8uyg","Rnf219","72486","NM_026047",-0.624500153775633,8.28387419633858,-7.25197097816122,0.000175286124661925,0.0844637613774766,1.33799296672923
"680","uIIgIkUkIJHUFtXh6Q","Cdpf1","72355","NM_197998",-0.623890121737814,8.32070149025838,-7.2503903201598,0.000175524311460684,0.0844637613774766,1.33682138615318
"5613","9qqJPBOboA5wS9_e6A","Cdc42ep1","104445","NM_027219",-1.62930397004906,8.63318391859597,-7.1511786082435,0.000191231085072824,0.0889024110320668,1.2626786317626
"3054","idXfP5ULjQ.HgVP4Xo","Ahcy","269378","NM_016661",-1.23163754880667,11.9887875525721,-7.14388961690793,0.000192446123110371,0.0889024110320668,1.25718399517246
"10769","BaU2202_3uU8jjuI7c","Ifitm1","68713","NM_026820",1.41553270838488,9.74462224138808,7.10910670069991,0.000198365389745753,0.0898400739675961,1.23087353723668
