"","ID","Symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"12923","rvL9_8BP_8tS._2fPo","Rad21",0.87921968280797,8.21622837418234,8.19482689231171,9.37710288137901e-09,4.56638118600639e-06,10.1609942551926
"6606","oso9NyIoCzIUKaupJw","Edn3",0.647041685562613,7.44112144190781,8.18055569893692,9.69818133405323e-09,4.59155007382231e-06,10.1288381082381
"10010","oVIUp0kET4t_r1KBfk","Mark2",1.20527855408852,8.82443445499823,8.07997910704988,1.23045822675258e-08,5.6680891937219e-06,9.90138011226484
"12649","cY4FVLIwB84J53oBz0","Psmd11",1.00148321782486,8.90201159721193,8.05402796964749,1.30868234491064e-08,5.86978470701499e-06,9.84245326832539
"6417","9tcXwaFf3dW7e3_0t4",NA,1.03095849528222,10.9951466694057,8.02383765639999,1.40612017155725e-08,6.0272762746137e-06,9.77377843942274
"3331","BrSvSnBHwPJHeeiJJ4","Atoh8",1.48759111005539,8.15167112422254,8.02133556216711,1.41452153828061e-08,6.0272762746137e-06,9.76808096037189
"10859","x7NePH.UIiJLoIJ4o4","Ndufb9",1.15228699330114,10.3574781937846,8.00775854780697,1.46101340041511e-08,6.07353960894515e-06,9.73714925479768
"5701","ln6CAEX42Ul7uFx6Io","Dennd5b",-0.583185597035333,7.88034902621645,-7.97350389430216,1.585386902383e-08,6.433651039099e-06,9.65899118498359
"13010","ce152fSpKHDDKk837c","Rasd1",1.14932032490938,7.74562959703715,7.96321471040782,1.62482225804319e-08,6.44034199211351e-06,9.63548169453512
"11083","xU97gkohXRJ1RQVUvQ","Npepl1",0.826849483362928,11.0278240629429,7.92481250109807,1.78108517174276e-08,6.89927628799627e-06,9.5476035251811
"1917","0SMiDyfb_99ot8.R7E","Dido1",0.699703886339083,8.33213828637105,7.90270666435383,1.87792592987546e-08,7.11274878862162e-06,9.49692169034795
"2596","0VUnWvV0FEAgqhIiAk","Aes",1.29757111804202,11.514576843895,7.8916954848472,1.92815639932984e-08,7.14423862395171e-06,9.47165042799658
"1039","EJ5NUkk6OVQgqE6Jx0","Eva1b",1.08028327004326,8.37141623466911,7.71096137496652,2.98046060726865e-08,1.08082916149546e-05,9.05439441862744
"7292","3L.V3Syl6pJHFPX15U","Fkbp8",1.16168652092496,11.3108364797506,7.66834934603583,3.30479726852358e-08,1.17347843009825e-05,8.95534559135547
"6710","3dW9PJcCTVJ0D0lUp8","Ehd3",-0.762589406794373,7.84003550450661,-7.60066739733657,3.89590006372753e-08,1.35513715686065e-05,8.79750132492374
"14797","oupHhtHJTc5NcDko10","St6gal1",-1.53889267292167,12.3707567156658,-7.49523940658399,5.04001336858144e-08,1.71803975708204e-05,8.55036086160357
"15696","BURbkhDT.s6vCJRtto","Tpcn1",1.25426793581514,10.7245659388306,7.4739165589185,5.31034384772118e-08,1.74342772529684e-05,8.5001903709872
"3002","iwV5kUkCJe3VtH7uJ4","Ap2a1",1.2068754561397,9.07526304728699,7.4732468120292,5.31907074134214e-08,1.74342772529684e-05,8.49861351481516
"14633","ipWL3ToiAUsQIinjok","Spag9",-1.07262055618591,8.45301809704388,-7.41386294440247,6.15408323782145e-08,1.97906027746092e-05,8.3585560969633
"3028","0Uu.isiQigetQlKVTU","Apbb1",0.82207426983153,10.2972047081623,7.38868867717635,6.54738113271816e-08,2.06654748196386e-05,8.2990374325755
"384","636_of6qHqier_R_i4","Styxl1",0.721768092895703,7.27675079252777,7.35859762691874,7.05134210076796e-08,2.18514681391799e-05,8.22778155448289
"4884","KRlF0grgv.j2NEHPJA","Celsr1",0.953406831581853,8.70452343549818,7.34437529649623,7.30314568903136e-08,2.22276455578304e-05,8.19406040117937
"1040","xsejOoeXSpfQAHl3lU","Eva1b",1.29792572089207,11.0577546101293,7.3274457716587,7.61487851275167e-08,2.27698226967262e-05,8.15388498922347
"13946","9idJbeV_DY5X_O7lGw","Srsf4",0.786801922274909,11.0590404273734,7.24368159803793,9.36931903988599e-08,2.75328747785891e-05,7.95453994056937
"4464","HY7oSt6BTg9cYjmgJE","Capn2",1.34953274438516,9.94160427168874,7.215073947962,1.0058817158824e-07,2.9058047399152e-05,7.88624469403567
"12437","iKLrKvInohM9exgpeo","Ppyr1",0.729171085971123,7.35618717238788,7.19367298396903,1.06082939994701e-07,3.01346271544946e-05,7.83508338555101
"1295","66nRlU0J9kAk7oKFoE","Rbm42",1.03653026895767,11.4235591195823,7.16768760736056,1.13168341729483e-07,3.12415601917343e-05,7.77288162564144
"3111","Tjl_4fUkBquqwyQd_s","Arf6",0.750419068483751,11.2880216463431,7.16082682881117,1.15118354552866e-07,3.12415601917343e-05,7.7564440685552
"9577","Bd0isUXSSo1cR_fejM",NA,0.805381041770943,8.19548508225586,7.1543501565356,1.16990631244877e-07,3.12415601917343e-05,7.74092113573925
"3940","coF9yKV5MF4BXh27GU","Rimkla",1.42209007401523,8.32067164689592,7.1442831632922,1.19962643546356e-07,3.12415601917343e-05,7.71678224881226
"2900","Znt7B171Kh3hFdKSEw","Anapc5",-0.673146996029649,9.40043761608041,-7.14421908627879,1.19981805116275e-07,3.12415601917343e-05,7.7166285610284
"3364","QYGeIIfakkkwA_4C3Y","Atp5e",1.05855230747254,10.2165347165287,7.14090324346013,1.20977644488058e-07,3.12415601917343e-05,7.70867483016578
"12819","fuzhNFBrAJ.iBNJC6c","Rab10",0.671965528251286,8.03419998096725,7.12358634459943,1.26317003574911e-07,3.18031954475482e-05,7.66711343956768
"15801","rUn64_PEq_KUlCH3uE","Trim25",0.7652768443096,8.17139814188577,7.11878567551668,1.27839311327009e-07,3.18031954475482e-05,7.65558470491998
"16143","c1eLVSQygoSyySyL6I","Ubxn6",0.762227294224365,9.65394234826887,7.11594055502341,1.28750321865807e-07,3.18031954475482e-05,7.6487507798268
"4262","T5JwZbr16vBrn729ZI","Acpl2",-0.963642998552272,11.4500229204749,-7.07964816777428,1.40969066651189e-07,3.37296487466556e-05,7.56148528154039
"527","TR13vdcq_LR4urfn8A","Slc25a35",1.09369862588528,9.05748644742724,7.07539165241976,1.42477554683717e-07,3.37296487466556e-05,7.55123930381353
