"","","exprtTATwistRas - expras"
"0UVT0lH_z.HXq2ORdY","NM_026756","1.25027375937175"
"ElLhpqYoI4oLloSTYY","NM_026753","0.0883699844550652"
"9hWiTUeEeig_BssiQs","NM_026753","0.247203986620594"
"Ws6axNIFomunS68Ikc","NM_027415","-0.102376874053096"
"Bfg2leAs1CCGZ0QgvU","NM_026789","-0.239455292221256"
"WeegLkt38frid.6hWE","NM_025385","-0.197572875266729"
"f5MhNgMhb86B_J9uJ0","NM_001085410","-0.506341615848894"
"0SCxCNfHhI.RIpEI44","NM_207104","0.224714146571452"
"Kdd4HfluO41zMTrUJQ","NM_027927","0.000772834847383663"
"ub0WFlLu6kJzp1HsQE","NM_197979","-0.380847927699554"
"li.QvlvRYWUu7qQnOk","NM_197979","-0.362332353457539"
"l1_npLoLVY3jUgq7jU","NM_025388","-0.0267269872708713"
"H_dLkI6CESXsIex6IQ","NM_020519","-0.0978803139544429"
"NEV4BeNoE9N4V5h0FU","NM_026393","-0.117449435824902"
"ZUFaknG3.8qW.EOl_A","NM_029844","-0.463316525567941"
"fWenSkMCjWpUEbE93s","NM_178056","-0.00061607941155728"
"NA9RReThbp_V2kmc.Y","NM_178056","-0.0794090131780862"
"3lSV7nzsPk9aUvDAuU","NM_152808","0.589686128513154"
"He7vnfXpTbKc7p7qTQ","NM_152808","0.516264573793251"
"Tn.p1fN8lNuSNNYuOc","NM_152808","0.748252934311957"
"fJIIvoHlR1QpSGnk6g","XM_001471713","0.123112518030773"
"fNWIFKPrH3llPokl4k","NM_172866","-0.0493238081015601"
"BXlKA5K9B5wKKSKtIk","NM_144524","-0.334273603357876"
"NjjUi7leRSIWyjqiS4","NM_025397","0.228032202570638"
"ZmLIcZWXQjy47piBe4","NM_025397","-0.0742579068139957"
"NJV_qjPfJ.AAeEwnqQ","NM_178614","-0.394350181804771"
"H5IIH5R73eKqCVKJ4Q","NM_144521","-0.411556845471058"
"ixTte0iCkdcpauiru8","NM_025402","0.010003688140845"
"QQK9EDrKQsV4NEVSd4","XR_034443","-0.640375812649358"
"0ixAZCCiYqfS7SLemU","NM_199197","-0.745967761357576"
"xHkXkhdZJS10mPrFxc","NM_199197","-0.735278302121763"
"QWoiDESJTQ4QRASSLo","NM_019770","0.358783364703529"
"ZteIg.lKU0fNffMaBc","NM_133187","0.557679654209503"
"ZXf4RIIF747eSuq3pA","NM_026824","-0.306190680616048"
"Tl.HSoN13_ESCBe_O0","NM_026824","-0.032163901660347"
"u1U4TwDUcPt.zJ.5Ag","NM_026807","-0.661005263786103"
"i6EB4Wu72ZVtbeWlZE","NR_003634","-0.10986695323591"
"QXnqfQoCoAotIgp7Xc","NM_027269","-0.0725138993381105"
"EXop7NK3oiQSSrfRLk","NM_026125","0.32921952374486"
"oeEwprhOmR30J0oRek","NM_176830","0.0437853807553488"
"onW4NoxY.SEjTXm9t0","NM_001013392","0.114006015537791"
"EXh3hCHu10KJPJ6fpc","NM_026831","-0.348194971025025"
"ER0h90nXuTVLsp3ilE","NM_175133","0.000522193412889393"
"BqIy7tzCAAlKqxLqoQ","XM_483920","-0.119157506144967"
"EAFV_VaCISeOZ1_.qg","NM_054099","0.237266648511776"
"6nnjjCge6oL7oRLqdE","NM_054099","-0.399573910850343"
"QSXvF0ARUgQkZfVKKU","NM_144525","0.420474575573156"
"iY11rd_XvpSQu7mId0","NM_144525","0.301257748554264"
"Ekq3uid..hR7c9FOeQ","NM_144525","0.270194610830914"
"rf6UJEsrjXjLSSRI9U","NM_183120","-0.0523068714316004"
"fia1b5Xn1_OHfqPtIU","NM_001024478","1.89845895424677"
"cvSuEjuBiXXS9QpNek","NM_001024478","-0.235969352101162"
"0okjGGCN.zPpeaoi6E","NM_025411","-0.108033679935755"
"Not14xOHn6oK3xEtyU","NM_025411","0.121709331348223"
"oYFE2KHrKgonwLiaeQ","NM_025410","0.00228087593502124"
"3NJ_S7fn.Bw07_shko","NM_175134","0.541932282890624"
"BCzp8qLXMMXxECu048","NM_001013577","-0.426943410912821"
"3TzXF7otGwwglAO5eI","XM_905765","-0.484770440146308"
"rJ6rH8Lsj4z835dKwg","NM_133700","-0.0576374161971138"
"urR66g0OTCBC16QtIU","NM_172401","0.293444783341137"
"0hBGK11eu3kQo5deSI","NM_172401","0.0547886323247386"
"fUdT.7lL9jF53OcUnE","NM_172401","-0.704831727958174"
"0aJcRjOiHqBoKhnk_E","NM_026503","-0.00997011440685114"
"ZVXxNkQJAEnz.zERxE","NM_025423","0.15830449530702"
"KVyJRIMulK4zjqf9RE","NM_025423","0.388564193325116"
"0duTAuOideUiCRqSxI","XM_980542","-0.464048782622942"
"TKfWhL.EJEKS6p7u3k","NM_025419","-0.26025984218367"
"KugpBMz0wefAg6oh10","NM_025418","-0.0957054822011116"
"QFf35Ue6felcV5uk_0","NM_176834","-0.229070052459674"
"ZpRHp6OqInM6GdqMQc","NM_026849","-0.154716705795967"
"oIPu_irEqm9UqXTojw","NM_026849","0.215749506536806"
"9BVPeQ._.XqCiDReZ4","NM_026849","-0.567942222165124"
"uVT4E1UH14dDd4E_Ho","NM_026849","-0.0404859525117534"
"Nqk1FLh0.Aqn60q_e4","NM_133889","0.150764393135988"
"9UofPfr00x1IU7Nd64","NM_178874","0.399669802997616"
"QttAXlPvIe9d5Oe4Wg","NM_172391","0.167585263498878"
"ucU7wSOH3H16kNUg_0","NM_173752","0.159560595845983"
"WqeiiEqVCfenEwvLrc","NM_001013019","-0.305815935160934"
"rXvcSgd6o3okscY2JQ","NM_001033874","-0.172191292741219"
"TF_p1OSKBeLp9bg1BI","NM_028447","-0.627695697900048"
"TJT6lTd6kvaIuCdH_8","NM_025427","0.137504026144507"
"fqKR3u_6QFxAmN00ic","NM_001033039","-0.136597772155259"
"BmY4f43I5cmLfften0","NM_133976","0.25154532678479"
"fT1uc5rEx8B7ypKHVI","NM_001033145","0.256205291844475"
"WVOtcRRcWqi8C47vF4","NM_029821","0.53400575134099"
"ElQxouUNAhe5IltVFw","NM_026860","-0.372029217832082"
"6FhKviO1uLhAmgmLp4","NM_026876","0.342634982140751"
"rqr33Sr3s46VC3exZ4","XM_355244","0.0231813124589628"
"oNbpd4tZFBUhVp_uCI","NM_197988","-0.439801866467707"
"HvuPox5ekeLPsJPjus","NM_025431","-0.276544195805231"
"H3wApTS6N8UssfH4Ls","NM_025431","0.284739228241218"
"TeqMlOCuerould96NM","NM_001033144","0.411157258381431"
"HemkAFeNe5el.mpuAM","NM_138743","0.138446502884236"
"QoEo739e91Um56v7G0","NM_027873","0.0177303645266136"
"01F71J7uJ9OPu4Qd3U","NM_027878","0.61892565824542"
"HtjPQUk5fodx7qCFc8","NM_024205","0.0484666469635275"
"9eQD8WBTRox3SCqUOg","NM_024205","-0.0135727689475669"
"rzxm95_u8OOfeaXdes","NM_024205","0.0258232444030462"
"ltF6gKLdHLhe3i8r2U","NM_181274","-0.189300820665466"
"WydH_P7Sg.uk_6n6rs","NM_025813","-0.240020982826035"
"BsFEbte7lTrMl0rfRU","NM_026169","-0.362799696833732"
"EhLaSQ5EbVzkuJETSE","NM_027872","0.260815876354322"
"xqo7xH0l.n.Hb9DTug","NM_026164","-0.163177529727282"
"ogdiXy9KXwggSWFQJ0","NM_026164","-0.470660601852978"
"i.eb3fQs.pMMTNH1eU","NM_026165","-0.653605969677917"
"64vj3z7s7AeVelH6cg","NM_026170","-0.915784838197025"
"f_CDl.C6ezP.HXPF6U","NM_028760","0.533395069533027"
"oahJ3Ug.7yQgetH4h4","NM_026168","-0.826553079505352"
"9jm5INTrTdztDAskqA","NM_026168","-0.732641151092942"
"WeSUoIiTwlQgTbogj4","NM_028659","0.247034594199331"
